SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PRICE PER BED,PRICE PER SQUARE FOOT
MLS Listing,,Multi-Family (2-4 Unit),6 Magnolia St,Boston,MA,2125,619900.0,5,3.0,Boston,2207,1380.0,1920.0,18,281.0,,Active,,,http://www.redfin.com/MA/Boston/6-Magnolia-St-02125/home/9073514,MLS PIN,72207651,N,Y,42.318527,-71.069682,3099500.0,1368119300.0
MLS Listing,,Multi-Family (2-4 Unit),166 Fayette St,Lynn,MA,1902,515000.0,6,3.0,Lynn,2382,2797.0,1900.0,18,216.0,,Active,,,http://www.redfin.com/MA/Lynn/166-Fayette-St-01902/home/11563379,MLS PIN,72207728,N,Y,42.4721654,-70.9389519,3090000.0,1226730000.0
MLS Listing,,Multi-Family (2-4 Unit),30 Marie Ave,Everett,MA,2149,615000.0,5,3.0,Everett,2495,3245.0,1900.0,13,246.0,,Active,,,http://www.redfin.com/MA/Everett/30-Marie-Ave-02149/home/8495529,MLS PIN,72210067,N,Y,42.4169531,-71.0483388,3075000.0,1534425000.0
MLS Listing,,Multi-Family (2-4 Unit),42 James St,Attleboro,MA,2703,339000.0,9,3.0,Attleboro,3210,2701.0,1900.0,1,106.0,,Active,,,http://www.redfin.com/MA/Attleboro/42-James-St-02703/home/15972616,MLS PIN,72216491,N,Y,41.938109999999995,-71.2793301,3051000.0,1088190000.0
MLS Listing,,Multi-Family (2-4 Unit),378 Summer St,Lynn,MA,1905,429900.0,7,3.0,Lynn,3019,5894.0,1780.0,57,142.0,,Active,,,http://www.redfin.com/MA/Lynn/378-Summer-St-01905/home/11580841,MLS PIN,72188961,N,Y,42.459811,-70.96178,3009300.0,1297868100.0
MLS Listing,,Multi-Family (2-4 Unit),26 Riverview Ave,Brockton,MA,2302,375000.0,8,3.0,Brockton,7187,7187.0,1900.0,2,52.0,,Active,,,http://www.redfin.com/MA/Brockton/26-Riverview-St-02302/home/16316888,MLS PIN,72215900,N,Y,42.0646718,-71.0090381,3000000.0,2695125000.0
MLS Listing,,Multi-Family (2-4 Unit),54 Ferdinand St,Melrose,MA,2176,749900.0,4,3.0,Melrose,2626,12000.0,1900.0,19,286.0,,Active,,,http://www.redfin.com/MA/Melrose/54-Ferdinand-St-02176/home/11786642,MLS PIN,72207040,N,Y,42.4719551,-71.07726729999999,2999600.0,1969237400.0
MLS Listing,,Multi-Family (2-4 Unit),64 Thacher St,Malden,MA,2148,599900.0,5,3.0,Malden,2119,4211.0,1865.0,3,283.0,,Active,,,http://www.redfin.com/MA/Malden/64-Thacher-St-02148/home/11387800,MLS PIN,72215024,N,Y,42.420248,-71.08052159999998,2999500.0,1271188100.0
MLS Listing,,Multi-Family (2-4 Unit),533 Summer Ave,Reading,MA,1867,599900.0,5,2.5,Reading,2462,29500.0,1916.0,18,244.0,,Active,,,http://www.redfin.com/MA/Reading/533-Summer-Ave-01867/home/8671018,MLS PIN,72207492,N,Y,42.5102446,-71.1017327,2999500.0,1476953800.0
MLS Listing,,Multi-Family (2-4 Unit),308 South Ave,Whitman,MA,2382,499900.0,6,3.0,Whitman,2969,13051.0,1860.0,5,168.0,,Active,,,http://www.redfin.com/MA/Whitman/308-South-Ave-02382/home/16456360,MLS PIN,72213990,N,Y,42.082343200000004,-70.9266145,2999400.0,1484203100.0
MLS Listing,,Multi-Family (2-4 Unit),83 Summit St,Rockland,MA,2370,499900.0,6,4.0,Rockland,2438,14244.0,1860.0,41,205.0,,Active,,,http://www.redfin.com/MA/Rockland/83-Summit-St-02370/home/14811986,MLS PIN,72195168,N,Y,42.1400578,-70.9161854,2999400.0,1218756200.0
