SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Multi-Family (2-4 Unit),870 E 5Th St,Boston,MA,02127,1950000,10,3.0,South Boston,4536,999,1899,3,430,,Active,August-21-2017 11:00 AM,August-21-2017 12:30 PM,http://www.redfin.com/MA/Boston/870-E-5th-St-02127/home/9191407,MLS PIN,72215299,N,Y,42.3342924,-71.0255995
MLS Listing,,Multi-Family (2-4 Unit),50 Farwell St,Newton,MA,02460,1075000,4,4.5,Newtonville,3599,10245,1870,3,299,,Active,,,http://www.redfin.com/MA/Newton/50-Farwell-St-02460/home/11415896,MLS PIN,72215290,N,Y,42.3654902,-71.2161092
MLS Listing,,Multi-Family (5+ Unit),16-20 Albany St,Lynn,MA,01902,2400000,27,12.0,Lynn,20000,13140,1907,3,120,,Active,,,http://www.redfin.com/MA/Lynn/20-Albany-St-01902/home/11577886,MLS PIN,72215270,N,Y,42.4671879,-70.9581171
MLS Listing,,Multi-Family (2-4 Unit),24-26 Lincoln Pkwy,Somerville,MA,02143,1275000,9,3.0,Union Square,3759,3632,1900,3,339,,Active,,,http://www.redfin.com/MA/Somerville/26-Lincoln-Pkwy-02143/home/8730266,MLS PIN,72215259,N,Y,42.3777054,-71.0989009
MLS Listing,,Multi-Family (2-4 Unit),9-11 Gledhill Ave,Everett,MA,02149,619900,6,3.0,Everett,2483,2609,1898,3,250,,Active,,,http://www.redfin.com/MA/Everett/11-Gledhill-Ave-02149/home/8531174,MLS PIN,72215209,N,Y,42.416584,-71.046319
MLS Listing,,Multi-Family (2-4 Unit),34-36 Appleton Pl,Arlington,MA,02476,799000,6,4.0,Arlington,3375,6974,1972,3,237,,Active,,,http://www.redfin.com/MA/Arlington/34-36-Appleton-Pl-02476/home/23457648,MLS PIN,72215189,N,Y,42.421889,-71.174753
MLS Listing,,Multi-Family (2-4 Unit),202 Maplewood St,Watertown,MA,02472,800000,6,2.0,Watertown,2869,5100,1920,3,279,,Active,,,http://www.redfin.com/MA/Watertown/202-Maplewood-St-02472/home/11700810,MLS PIN,72215180,N,Y,42.3739806,-71.1667192
MLS Listing,,Multi-Family (2-4 Unit),24 Wigglesworth St,Somerville,MA,02145,1300000,5,3.0,Somerville,2294,1956,1900,3,567,,Active,,,http://www.redfin.com/MA/Somerville/24-Wigglesworth-St-02145/home/8731729,MLS PIN,72215079,N,Y,42.3879475,-71.0916484
MLS Listing,,Multi-Family (2-4 Unit),64 Thacher St,Malden,MA,02148,599900,5,3.0,Malden,2119,4211,1865,3,283,,Active,,,http://www.redfin.com/MA/Malden/64-Thacher-St-02148/home/11387800,MLS PIN,72215024,N,Y,42.420248,-71.0805216
MLS Listing,,Multi-Family (2-4 Unit),132 W Water St,Rockland,MA,02370,445000,5,2.0,Rockland,2173,21780,1860,3,205,,Active,,,http://www.redfin.com/MA/Rockland/132-W-Water-St-02370/home/14810698,MLS PIN,72214973,N,Y,42.1247531,-70.9183827
MLS Listing,,Multi-Family (2-4 Unit),60-62 Harvard St,Everett,MA,02149,575000,6,3.0,Everett,2200,5149,1907,4,261,,Active,,,http://www.redfin.com/MA/Everett/62-Harvard-St-02149/home/140104586,MLS PIN,72214931,N,Y,42.4085696,-71.0405947
MLS Listing,,Multi-Family (2-4 Unit),410 Loring Ave,Salem,MA,01970,570000,6,2.0,Salem,2590,6100,1929,4,220,,Active,,,http://www.redfin.com/MA/Salem/410-Loring-Ave-01970/home/8387166,MLS PIN,72214924,N,Y,42.4911686,-70.8954899
MLS Listing,,Multi-Family (2-4 Unit),5 Groom St,Boston,MA,02125,799000,9,3.0,Boston,3240,3040,1911,4,247,,Active,,,http://www.redfin.com/MA/Boston/5-Groom-St-02125/home/9064630,MLS PIN,72214910,N,Y,42.3203089,-71.0661702
MLS Listing,,Multi-Family (2-4 Unit),12 Seaview Ave,Malden,MA,02148,649900,6,2.5,Malden,3222,10000,1880,4,202,,Active,,,http://www.redfin.com/MA/Malden/12-Seaview-Ave-02148/home/11415392,MLS PIN,72214866,N,Y,42.4322187,-71.0540301
MLS Listing,,Multi-Family (2-4 Unit),72 Richmond St,Brockton,MA,02301,390000,2,1.0,Montello,4095,7754,1925,4,95,,Active,,,http://www.redfin.com/MA/Brockton/72-Richmond-St-02301/home/16326778,MLS PIN,72214840,N,Y,42.096273,-71.025004
MLS Listing,,Multi-Family (2-4 Unit),33 Central St,Somerville,MA,02143,1678000,6,3.5,Somerville,3090,4356,1900,4,543,,Active,,,http://www.redfin.com/MA/Somerville/33-Central-St-02143/home/8718951,MLS PIN,72214837,N,Y,42.3854653,-71.105214
MLS Listing,,Multi-Family (2-4 Unit),19-21 Washburn,Weymouth,MA,02188,499000,6,2.5,Jackson Square,2854,9147,1868,4,175,,Active,,,http://www.redfin.com/MA/Weymouth/21-Washburn-St-02189/home/11519353,MLS PIN,72214765,N,Y,42.2142788,-70.9265903
MLS Listing,,Multi-Family (2-4 Unit),71 Grove St,Chelsea,MA,02150,499900,7,2.0,Chelsea,2582,3200,1900,4,194,,Active,,,http://www.redfin.com/MA/Chelsea/71-Grove-St-02150/home/9008579,MLS PIN,72214752,N,Y,42.3922023,-71.0303206
MLS Listing,,Multi-Family (2-4 Unit),53 Telegraph St,Boston,MA,02127,849000,6,2.0,South Boston,2464,2137,1880,4,345,,Active,,,http://www.redfin.com/MA/Boston/53-Telegraph-St-02127/home/9195884,MLS PIN,72214724,N,Y,42.3327675,-71.0486888
MLS Listing,,Multi-Family (2-4 Unit),4 Friend Ter,Lynn,MA,01902,399900,7,2.0,Lynn,2818,3450,1900,4,142,,Active,,,http://www.redfin.com/MA/Lynn/4-Friend-Ter-01902/home/11571420,MLS PIN,72214709,N,Y,42.4644617,-70.9396628
MLS Listing,,Multi-Family (2-4 Unit),31 Glendale Rd,Sharon,MA,02067,799900,7,3.0,Sharon,4259,21920,1900,4,188,,Active,,,http://www.redfin.com/MA/Sharon/31-Glendale-Rd-02067/home/11830395,MLS PIN,72214701,N,Y,42.1255542,-71.1743424
